"gene","constitutiveexons","ESTcount","alt3EST","alt5EST","alt3.5EST","GeneLength","TranscriptCount","GCcontent","NumJunctions","IntronicLength"
"CNTN1",25,337,0,3,0,379976,11,35.21,134,372515
"SLC11A1",19,527,5,6,0,14865,18,55.34,119,6199
"AGPS",18,436,2,1,0,166655,4,36.51,24,143015
"ATP1A2",21,1760,6,3,0,27832,8,50.38,86,21557
"CYP24A1",10,50,0,0,0,20524,6,43.36,33,16564
"SNAI2",1,21,0,0,0,3972,2,41.13,5,1772
"HGF",16,511,9,0,0,71432,10,34.42,69,62556
"NCDN",6,141,4,0,0,9801,6,57.71,27,4893
"MRE11",1,11,0,0,0,78330,10,37.31,112,70663
"SLC7A9",12,142,5,0,0,39257,6,46.62,56,36672
"SPAST",15,156,0,0,0,94026,4,39.98,31,88830
"CPS1",41,964,0,1,0,201425,12,36.31,126,191023
"C8B",12,158,0,0,0,36930,6,42.82,41,34215
"FHL1",11,5865,20,35,0,64657,33,42.07,86,59029
"GABRA1",9,655,1,0,0,52918,20,34.99,68,47298
"NDUFS1",17,2664,4,2,0,44786,10,40.81,130,32538
"RB1CC1",23,532,0,21,0,123387,10,37.73,97,115798
"BIRC3",9,109,0,0,0,21953,7,37.6,28,14447
"ABCC2",30,186,0,0,0,69460,3,45.12,40,63260
"DEF6",10,201,2,2,0,23919,3,48.45,23,21290
"TYMP",9,493,37,1,0,4304,8,64.53,60,990
"SEC63",22,844,4,0,0,90433,10,39.82,49,81869
"VIM",13,5304,15,2,0,9334,10,46.25,38,4378
"FAS",8,566,0,0,0,25203,20,37.84,96,21576
"RNASET2",9,374,1,1,0,27687,14,48.7,73,20221
"MIPEP",18,439,0,0,0,159230,5,39.76,29,155844
"PRKCH",12,312,0,0,0,363417,28,42.48,109,354645
"IFNGR1",7,847,3,0,0,21965,4,38.81,26,19294
"B4GALT7",5,166,1,0,0,10247,8,57.92,22,5326
"TNFRSF1B",8,178,0,0,0,42225,4,55.39,23,38469
"ANK1",43,299,1,4,0,243542,14,49.32,360,232790
"HMGB3",3,162,2,0,0,10266,5,51.16,18,6306
"NUP160",37,724,5,2,0,70468,11,41.86,117,62032
"MUSK",14,71,1,0,0,132849,7,36.45,49,128665
"GRN",16,21731,33,25,0,8016,22,57.64,93,4347
"ARHGAP31",10,76,0,0,0,126341,2,43.44,16,116970
"PNPLA6",35,2017,20,8,0,27760,24,55.88,242,20737
"IFT88",32,735,17,1,0,124368,7,38.74,122,119466
"ALG1",12,974,2,4,0,53419,8,49.28,63,47907
"ZCCHC8",14,422,0,0,0,29473,10,42.68,64,20362
"FUT8",15,440,0,1,0,333529,15,37.41,83,326661
"ATP6V0A1",22,3522,24,4,0,63767,25,45.47,194,52827
"PEX3",10,392,0,0,0,39203,3,35.11,18,36993
"MYOC",2,22,1,0,0,17266,2,45.71,2,15174
"VCL",23,1114,2,2,0,126170,7,41.45,68,116251
"RFC1",27,768,9,1,0,78919,17,39.26,100,72239
"TBC1D23",18,866,3,0,0,64251,9,36.46,84,59103
"CUL3",18,642,2,0,0,115247,16,37.23,84,103764
"OTC",8,79,0,0,0,68905,2,39.3,18,67330
"CASR",5,30,1,0,0,107946,5,41.14,18,97430
"FLT4",31,344,2,0,0,48118,12,60.24,142,39295
"NSUN2",18,599,1,2,0,34052,9,43.29,94,28565
"AGA",7,382,0,1,0,11733,6,39.89,25,9067
"TLL1",21,139,0,1,0,230637,6,35.72,77,223140
"TRIO",56,608,1,2,0,388426,25,43.35,337,370988
"VCAN",15,397,0,0,0,110838,12,37.22,92,96022
"MSR1",8,154,2,0,0,459612,14,35.52,79,451827
"CDH1",14,445,0,1,0,98323,14,46.89,86,92188
"DNAH5",77,343,1,0,0,254212,4,38.97,95,237818
"C6",16,264,0,0,0,119204,8,36.68,52,114489
"PNKP",18,591,10,1,0,18469,31,59.53,111,3185
"CTNS",11,293,0,1,0,25074,10,54.27,73,21689
"RTN4R",11,519,4,2,1,41831,6,60.45,7,38500
"TNC",28,492,0,0,0,98679,14,41.85,228,89076
"TDP1",20,306,1,1,0,89829,17,42.14,158,83627
"SPATA7",17,465,1,2,0,85426,22,37.9,127,78573
"MED17",12,265,1,0,0,30736,29,39.79,48,19708
"AP2S1",3,664,6,0,0,12856,10,52.87,29,11158
"USH2A",70,100,0,0,0,800502,4,36.36,167,779991
"ZPBP",7,134,7,0,0,270908,6,36.38,25,268280
"TG",49,1965,2,1,0,267945,20,45.9,246,256865
"ZIC2",1,5,0,0,0,5001,5,56.6,8,1696
"LCP2",20,791,2,0,0,51990,10,44.64,57,44780
"TRIT1",11,447,10,12,0,42489,15,42.46,104,39419
"CUL7",26,412,3,3,0,16328,3,54.7,56,10728
"CTNNA1",29,6912,21,11,1,324067,44,44.15,219,315274
"PHKA2",33,494,1,3,0,92298,8,45.75,54,83220
"DSG2",13,308,0,1,0,50965,2,39.27,19,44790
"OFD1",23,498,10,0,0,34608,9,39.8,110,29461
"WDR37",15,338,6,1,0,82759,6,45.5,44,77121
"CP",19,733,1,1,0,59645,15,37.35,98,52371
"DTNBP1",9,359,3,0,0,140257,12,39.93,75,137193
"XK",1,5,0,0,0,46371,1,39.54,2,41168
"CC2D2A",38,374,5,0,0,131692,17,40.21,236,124162
"RRM2B",10,275,0,1,0,34616,11,37.99,40,29079
"GUCA1A",4,56,0,1,0,24650,5,51.23,20,22339
"VPS13D",70,725,2,1,0,281980,14,42.34,275,261705
"CELF2",18,896,8,8,0,538278,17,41.91,140,321560
"COL9A2",33,441,5,0,0,17329,11,57.43,130,13214
"KITLG",9,246,0,0,0,88058,5,36.84,33,82040
"ERCC8",15,380,4,2,0,71242,8,37.16,79,66412
"H6PD",3,9,0,0,0,36562,3,52.29,9,27247
"PER3",21,235,13,4,1,60857,9,40.53,55,52821
"LTBP1",32,728,8,0,0,452537,12,40.25,258,445245
"ELN",31,6319,36,8,0,42118,34,54.95,542,35610
"RFC2",10,1969,25,3,0,22959,13,48.96,84,20761
"ARID1B",21,189,0,0,0,433405,35,40.87,119,416538
"NEDD4L",33,1262,4,3,0,357173,38,43.36,435,341504
"FOXP3",11,152,2,0,0,14390,6,53.51,56,11825
"HEXB",12,1693,2,1,0,82624,13,42.11,63,77573
"NEXMIF",1,5,0,0,0,192636,3,39.49,8,180881
"LAMC3",26,152,1,1,0,85391,4,53.69,43,77826
"RAD51",9,424,3,1,0,37565,10,43.47,67,34532
"CYBA",4,798,0,0,0,7869,10,61.89,38,4518
"MSMO1",4,598,0,0,0,15537,5,37.1,18,12651
"ALX4",2,12,0,0,0,49722,1,52.84,3,43976
"LAMA3",73,840,0,1,0,265623,14,42.46,300,252181
"KCNQ1",15,219,0,1,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"SDCCAG8",18,344,10,0,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"HHAT",13,258,4,1,0,348044,9,42.26,101,343762
"KIF1B",47,878,6,2,0,170798,13,41.99,196,153157
"FOXC1",11,519,4,2,1,3925,1,56.32,0,68634
"SYNE2",123,1435,41,4,0,373450,28,40.76,769,342208
"RELT",14,287,1,2,0,21210,7,59.84,39,14898
"GALC",20,1526,1,1,0,155845,16,39.12,129,149046
"KCNH2",14,142,1,6,0,33354,6,59.57,59,26352
"CYFIP2",33,2442,8,2,0,129516,24,44.29,437,119047
"TAB2",10,96,0,0,0,192972,9,38.87,39,187250
"EIF2AK2",15,439,12,0,0,57855,7,41.14,60,47119
"KMT2C",59,463,4,7,0,301083,13,38.65,282,278491
"ZFR",18,512,1,0,0,90411,7,38.33,42,83639
"TRAF3IP2",10,259,5,0,0,49824,12,44.45,61,43282
"PKP2",12,235,1,0,0,106095,7,40.8,32,100041
"MSH4",18,134,0,0,0,116356,1,37.01,19,113110
"F7",9,89,2,0,0,14893,6,61.36,30,11108
"ATG5",7,408,2,0,0,280368,10,39.61,27,137400
"LAMC2",21,293,1,0,0,58662,4,43.28,46,52141
"SEC61A1",11,4766,3,6,1,20042,7,47.3,42,15358
"PPP1R12A",27,769,4,1,0,161897,22,36.07,207,149436
"CAMK2B",24,1452,16,3,0,117427,26,55.17,327,109301
"TBXAS1",17,637,0,4,0,243274,20,44.8,182,237030
"ALDH18A1",18,1162,1,11,0,50777,5,43.16,45,47030
"GATB",1,18,0,0,0,90519,14,43.81,84,78777
"SLC2A3",10,6048,3,6,0,17045,11,44.63,37,10895
"CTDP1",13,156,1,0,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"WNK1",30,502,5,3,0,158859,21,38.72,169,144522
"CREB3L3",8,98,5,0,0,19453,5,52.71,46,16785
"PIGV",5,156,2,1,0,10926,6,48.34,20,7551
"COL11A1",67,358,0,0,0,232029,12,33.13,295,223834
"MPC1",6,247,1,1,0,18094,7,38.93,21,16562
"LZTS1",2,9,0,0,0,57798,4,50.43,8,52096
"PRDM6",6,16,0,0,0,105145,4,40.19,12,95803
"CDH3",14,651,0,0,0,86427,10,49.26,75,81438
"ELMO2",25,1813,77,3,0,66936,18,44.15,231,60327
"POLD1",27,760,8,2,0,33814,14,55.06,145,28983
"BICRA",1,7,0,0,0,95081,4,51.9,19,87949
"RPL18",8,6663,11,1,0,4208,16,56.83,61,68634
"CASP8",9,241,12,4,0,54268,20,43.9,110,47476
"DLX3",1,11,0,0,0,5219,2,57.41,3,2507
"DMRT3",11,519,4,2,1,14767,2,43.73,1,12382
"CDON",20,118,0,1,0,107539,9,39.95,74,96962
"TAF2",26,344,4,0,0,102088,9,37.5,54,95570
"TNPO3",23,938,2,0,0,100993,5,39.8,109,96341
"RFXANK",9,662,67,0,0,9640,15,54.66,82,7139
"CTSA",15,4893,15,6,0,8676,19,56.04,67,4620
"SLC12A2",26,333,1,0,0,105922,8,35.24,88,95286
"ABCA7",46,415,5,4,0,25471,19,60.49,183,17148
"SNCAIP",16,267,0,0,0,152865,22,39.26,189,145560
"POU1F1",4,34,0,0,0,17183,4,32.39,17,15620
"PMS1",14,368,0,5,0,93544,22,36.81,131,88112
"CALCRL",17,317,1,0,0,105331,9,33.09,62,99205
"AP3D1",34,1345,23,3,0,63477,12,56.41,155,54887
"NTHL1",4,316,3,2,0,8051,10,61.44,31,5629
"GNAI3",8,2606,3,3,0,69710,1,39.95,8,42545
"OAT",13,1940,1,4,0,21673,8,42.49,36,18299
"NTN1",5,9,0,0,0,222458,2,49.77,20,216036
"MCM10",18,285,6,0,0,49550,7,43.59,63,44115
"ERBB3",30,898,4,1,0,23648,21,49.92,168,15022
"SPEN",14,94,1,0,0,92596,5,42.99,25,79318
"MYLK",33,1216,105,2,1,274282,21,45.34,243,252154
"COL17A1",55,634,2,0,0,54716,7,48.31,138,48348
"CDK13",12,160,5,1,0,147097,7,38.87,37,138191
"SLC9A7",15,84,0,2,0,159920,5,41.07,26,149916
"CTNNA2",30,459,0,1,0,1463630,19,38.65,148,1456238
"TIE1",23,500,3,0,0,22115,10,54.59,68,15443
"DIP2B",37,217,0,0,0,243682,5,41.84,77,233360
"SMARCD1",11,664,1,2,0,15740,12,48.68,63,10619
"SLC9A3",15,70,1,2,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"ASPM",27,318,1,2,0,62566,3,34.66,75,51707
"ELOVL1",9,1448,8,11,0,4677,16,58.74,86,2180
"SPI1",3,103,23,0,0,23716,4,52.62,12,21652
"ZBTB11",9,69,0,0,0,28606,3,40.45,12,21200
"ATXN3",11,3217,32,16,0,67969,53,42.78,330,39614
"FGFR2",21,545,1,7,0,120124,27,45.41,265,112612
"EML1",22,570,5,0,0,204367,20,45.19,136,195500
"THUMPD1",4,125,0,0,0,39268,6,40.19,17,3332
"ARFGEF1",37,549,4,1,0,170166,8,38.36,101,159235
"ZFAT",17,437,1,0,0,235261,17,44.79,153,226384
"STAG3",31,901,12,1,12,43925,19,47.11,213,35379
"FECH",10,606,5,9,0,38489,10,42.66,56,34029
"MYO9A",44,451,3,1,0,296288,21,37.93,279,276084
"DDX3Y",17,1245,8,2,0,16370,9,37.7,57,10649
"KLF6",3,69,0,5,0,9285,7,48.08,13,3150
"PHKA1",30,222,0,0,0,135505,5,37.87,153,129186
"TNFRSF1A",8,2707,17,3,0,13357,16,54.08,75,9360
"RHOA",6,3448,9,10,0,53853,6,46.57,20,51281
"PRKCZ",21,2487,5,3,0,134925,26,56.44,177,127325
"IARS2",22,915,0,0,0,53939,4,39.21,53,49799
"SYT1",13,383,6,1,0,588015,12,35.61,74,581542
"ROGDI",9,881,8,3,0,5982,16,63.26,94,2306
"ATP2B3",21,80,1,1,0,65263,7,58.21,122,57753
"PDK3",10,145,1,0,0,74616,3,40.95,22,71933
"HDAC4",25,279,4,0,0,353486,17,51.33,145,340079
"FGFR3",17,253,5,2,0,15565,10,65.82,103,10749
"COASY",9,463,11,0,0,4810,14,57.56,65,785
"MEF2A",17,299,1,0,0,151049,13,36.86,90,232290
"OTUD5",10,434,3,8,0,36358,8,49.93,50,33024
"TFE3",9,274,14,3,1,14760,5,52.58,34,10503
"ACSL4",15,465,25,0,0,109159,12,39.16,66,97891
"GPKOW",9,585,1,0,0,10412,1,50.87,10,8093
"FTSJ1",16,1243,17,1,0,10343,13,50.6,89,7483
"REEP1",6,776,0,3,0,124090,9,46.05,52,119027
"ATP11A",31,192,0,0,0,196839,17,50.33,185,185133
"POLR1A",33,490,1,2,0,85939,10,46.69,93,72456
"TTC7A",22,366,0,0,0,159980,12,50.88,176,153059
"KIF2A",21,934,3,26,0,231087,10,38.86,103,226342
"RASGRP2",17,513,4,3,0,18545,23,55.63,153,12477
"IFT80",27,610,11,19,1,142894,27,36.52,165,135746
"PYGM",18,701,3,4,0,13908,5,56.99,42,8947
"PITX1",1,29,0,2,0,7078,6,59.4,12,3572
"NUP133",26,1121,3,1,0,68081,4,40.25,85,62028
"VPS35",17,2761,19,4,0,33386,12,38.86,58,23671
"KCNAB2",22,5821,0,4,0,109727,19,56.05,181,100503
"ABCC9",39,112,0,0,0,145128,7,36.12,151,132623
"GAL",4,107,0,0,0,7396,2,57.14,6,6103
"RORA",14,178,1,0,0,741035,14,41.64,64,724026
"DRD4",2,8,0,0,0,3413,2,67.02,5,1941
"TGFBR3",22,295,8,0,0,225992,11,42.29,113,217363
"PIGB",11,167,0,0,0,36688,12,39.99,51,32164
"GNB5",15,845,0,0,0,76264,12,45.39,64,62979
"RAB27A",8,233,0,0,0,116147,12,41.6,53,110559
"UFD1",1,1,0,0,0,29305,10,46.94,76,20579
"LRP6",21,160,2,0,0,150987,7,38.53,76,140673
"GUCY2C",25,136,0,0,0,83953,2,39.57,33,79803
"ELP1",1,38,1,0,0,66599,4,39.91,81,60590
"PTPN3",25,592,1,2,0,122847,6,45.34,103,112723
"SPTB",35,275,0,0,0,133600,8,48.21,184,118866
"FGF10",1,19,0,0,0,86162,2,35.67,3,83155
"SLC44A1",16,407,0,0,0,194549,7,38.86,71,182428
"TMEM260",15,256,0,0,0,162252,16,39.13,128,154197
"CLTCL1",35,427,1,3,0,112243,12,46.41,187,102444
"DGCR2",11,1760,29,1,0,86172,7,48.62,43,80648
"GBA2",19,543,5,1,0,12362,8,50.7,69,8056
"NDST1",15,156,1,0,0,72393,9,52.04,35,62885
"ASNS",12,1588,11,0,0,20424,17,38.42,114,15983
"CNGB1",32,234,0,1,0,88776,9,50.27,100,81514
"CHAT",15,142,0,1,0,56009,12,51.04,111,81703
"EIF2B3",14,563,3,0,0,136200,10,42.55,51,132808
"CAMK2A",18,1745,2,2,0,70800,7,52.11,64,64670
"TCOF1",29,988,13,4,0,42669,15,52.45,258,31414
"CDC42",7,2429,3,0,0,40319,5,41.82,32,36857
"SLC12A3",24,187,5,1,0,50643,6,52.83,102,44490
"ATP2B1",19,283,0,1,0,121251,11,36.37,103,111779
"RPL31",6,5357,2,22,0,22317,11,42.84,33,16531
"WDR1",19,3978,9,1,0,42610,18,54.98,111,34806
"BUD23",1,298,0,29,0,22136,18,54.07,127,14204
"TRIP13",12,349,0,0,0,26714,7,50.49,35,23169
"ATP6AP1",10,3977,12,3,1,7884,10,56.78,51,3009
"TCF3",20,658,30,4,0,43315,20,59.57,126,37271
"FAM50A",12,841,6,4,0,6528,7,60.48,44,3974
"CPSF1",41,1247,6,8,0,16120,14,59.98,77,10242
"RDH11",6,2107,6,20,0,19013,11,42.66,42,13500
"PRKACA",8,275,2,0,0,26396,10,53.35,54,20264
"ADGRL1",1,13,4,0,0,58444,8,56.42,62,49982
"ACTN1",22,2997,13,0,0,105297,21,50.81,174,94699
"ZFYVE26",41,556,0,1,0,89216,11,43,200,73553
"LIMS2",15,545,1,1,0,43405,18,56.36,116,34931
"SPEG",42,241,13,7,1,63441,25,57.68,179,45580
"ALDH3A2",10,460,4,0,0,29462,26,44.22,111,23020
"TFRC",18,1263,0,0,0,55006,15,42.47,121,47140
"SREBF1",21,971,4,5,0,26603,23,58.04,151,18591
"AFF4",21,307,2,0,0,88255,9,40.42,67,76982
"SMC1A",24,653,0,3,0,48579,6,45.54,47,37951
"HSD17B10",4,672,0,12,0,3115,5,52.02,20,2005
"HMMR",16,618,1,0,0,31742,8,36.97,96,27824
"P4HA2",16,1053,12,5,0,103477,21,49.39,138,95366
"FCGR2B",11,365,13,0,0,15507,5,47.24,51,90355
"TRNT1",9,247,0,3,0,23963,11,38.89,39,18458
"ACADVL",23,5328,24,9,184,8148,39,58.5,217,3290
"FBXW11",14,316,0,0,0,145324,12,39.72,86,139766
"EVC",24,91,0,1,0,103108,5,47.4,59,109951
"NDE1",13,511,6,1,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"XRCC1",18,814,6,1,0,37433,9,50.94,67,33991
"MCM2",15,1502,3,2,0,24213,9,50.73,67,19328
"MOV10L1",26,455,0,0,0,71811,10,47.64,149,64968
"TP63",14,240,1,3,0,265863,14,37.13,142,258426
"ALPK1",18,205,18,3,0,157111,18,40.45,113,144809
"CLCN4",11,468,0,3,0,80715,4,45.24,37,73939
"SDHA",15,3305,2,5,0,38459,20,46.07,108,30092
"SMARCE1",12,2328,1,0,0,23546,19,37.72,129,12538
"ABCB11",26,114,3,0,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"IGF2BP2",19,431,4,0,0,181317,11,42.54,80,176602
"TBX21",4,30,0,0,0,12875,2,53.22,6,10267
"PICALM",22,926,20,1,0,112198,24,37.33,187,106390
"NSF",20,4676,3,3,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"GLI2",13,115,4,0,0,257030,13,52.42,112,249705
"MRPS34",1,150,0,0,0,1265,3,65.4,5,171
"NOTCH3",31,225,0,0,0,41943,6,54.88,63,32582
"EED",11,325,0,0,0,34269,11,37.1,66,27263
"SNCB",6,179,2,0,0,10472,6,56.95,23,8471
"CA12",9,593,0,2,0,60783,6,48.45,32,53483
"BCS1L",8,368,2,13,0,4679,20,54.42,90,1308
"SLC24A1",11,69,0,0,0,49629,12,44.73,66,40559
"LMAN1",11,532,0,1,0,32139,5,37.33,21,25386
"SLC12A1",27,265,2,3,0,112414,11,38.11,160,99967
"KCNQ2",17,178,4,0,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"NUP37",11,358,0,0,0,47021,9,36.52,47,43541
"SEMA3A",15,103,0,0,0,536947,7,34.35,49,527601
"SEMA3C",18,577,0,0,0,179821,9,35.82,81,173579
"ACAT1",12,301,1,0,0,26260,12,42.49,49,20692
"CELSR1",33,127,4,0,0,176336,5,53.93,43,163557
"MARK3",20,786,12,1,0,118439,26,42.15,192,109573
"SLC25A3",8,6869,100,7,0,12788,17,42.39,73,3897
"ACTB",7,34077,40,16,0,36633,13,56.7,39,33384
