From	Entry
CYCS	P99999
SAMD12	Q8N8I0
CEP85L	Q5SZL2
COPA	P53621
TRIM44	Q96DX7
SPR	P35270
TECTA	O75443
CHRNE	Q04844
ZSWIM6	Q9HCJ5
FZD4	Q9ULV1
GSDME	O60443
SLC52A1	Q9NWF4
SYN2	Q92777
CSNK2B	P67870
MAD1L1	Q9Y6D9
THAP1	Q9NVV9
UBA2	Q9UBT2
CCL11	P51671
F5	P12259
CYP3A4	P08684
NACC1	Q96RE7
KNG1	P01042
KCND3	Q9UK17
FBXO28	Q9NVF7
BNC2	Q6ZN30
MAX	P61244
ANK2	Q01484
CES1	P02795
CES1	P23141
NPRL3	Q12980
MNX1	P50219
ATP2B1	P20020
PPP1R3A	Q16821
CCND2	P30279
IKZF3	Q9UKT9
SYT2	Q8N9I0
MLH3	Q9UHC1
BFSP1	Q12934
EGLN1	Q9GZT9
WNK4	Q96J92
SCN11A	Q9UI33
RNASEL	Q05823
PAK1	Q13153
PAK1	Q16512
BLVRA	P53004
ADGRL1	O94910
NQO2	P16083
FRG1	Q14331
GABRA1	P14867
PACS1	Q6VY07
KCNJ6	P48051
TEK	Q02763
LIPC	P11150
ACOX1	Q15067
POU4F1	Q01851
POLG2	Q9UHN1
TMEM106B	Q9NUM4
JPH1	Q9HDC5
HMMR	O75330
DIABLO	Q9NR28
CD19	P15391
ZCCHC8	Q6NZY4
POFUT1	Q9H488
CDC42	P60953
HOMER2	Q9NSB8
WNT10B	O00744
HDC	P19113
HDC	Q9UBI9
PDE6H	Q13956
PRRX1	P54821
CSNK1D	P48730
TBXA2R	P21731
ALOX5	P09917
GNAI3	P08754
RNF213	Q63HN8
POLR3F	Q9H1D9
DAB1	O75553
MSH6	P52701
LRSAM1	Q6UWE0
IKZF5	Q9H5V7
PMS2	P54278
PRPF4	O43172
CRYM	Q14894
TBX5	Q99593
PRKAR1B	P31321
SNAP25	P60880
IFNGR1	P15260
CCNK	O75909
RNF13	O43567
SERPINE1	P05121
PER2	O15055
WNK1	Q9H4A3
IKZF1	Q13422
CRYGB	P07316
SOX4	Q06945
PSAP	P07602
PSAP	Q8IWL1
PSAP	Q8IWL2
PSAP	Q9NZJ7
RAD54B	Q9Y620
IL17RD	Q8NFM7
PRDM6	Q9NQX0
CALR	P27797
ERBB4	Q15303
RP1	P49842
RP1	P56715
RP1	Q15555
RB1CC1	Q8TDY2
KCNK9	Q9NPC2
CRYBA2	P53672
CACNG2	Q9Y698
HCN4	Q9Y3Q4
RHAG	Q02094
COL4A4	P53420
DDB1	Q16531
EGFR	P00533
MXI1	P50539
RP1L1	Q8IWN7
ARHGEF10	O15013
OSBPL2	Q9H1P3
PRCC	Q92733
CHRNB1	P11230
GATAD2B	Q8WXI9
KIF3B	O15066
AKT2	P31751
UBIAD1	Q9Y5Z9
PRPF31	Q8WWY3
MAP3K8	P41279
KCNC2	Q96PR1
TUBA1A	Q71U36
ARF1	P84077
CRB1	P82279
ATP6V0A1	Q93050
SLC6A4	P31645
IL13	P35225
KRT12	Q99456
CHD2	O14647
SEMA3A	Q14563
MOG	Q16653
ATXN3	P54252
PICALM	Q13492
IRF2BP2	Q7Z5L9
SASH1	O94885
USP8	P40818
PLD3	Q8IV08
LMNB2	Q03252
ELP4	Q96EB1
KRT83	P78385
F12	P00748
CAPN3	P20807
SLC16A12	Q6ZSM3
FOXG1	P55316
RHOBTB2	Q9BYZ6
VPS35	Q96QK1
PMP2	P02689
TWNK	Q96RR1
HOXA2	O43364
JUP	P14923
SEMA4A	Q9H3S1
TUBA3D	P0DPH8
RORA	P35398
ANGPT2	O15123
ELMOD3	Q96FG2
YY1	P25490
CLCN6	P51797
HMGA1	P17096
CD46	P15529
CD164	Q04900
KCTD17	Q8N5Z5
MIB1	Q86YT6
ALPK1	Q96QP1
PDLIM4	P50479
RBPJ	Q06330
COL4A2	P08572
NFKBIA	P25963
ADAM10	O14672
ATP2C1	P98194
ESR2	Q92731
ABCA4	P78363
ACVR2B	Q13705
TRIP12	Q14669
TMC1	Q8TDI8
PPOX	O43612
PPOX	P50336
BACH2	Q9BYV9
KCNT2	Q6UVM3
TCF3	P15923
TCF3	Q9HCS4
KIF5C	O60282
COCH	O43405
REN	P00797
REN	Q693B1
DDX6	P26196
ZNF423	Q2M1K9
SCN2B	O60939
IRS2	Q9Y4H2
CRYGD	P07320
POLR1D	P0DPB5
POLR1D	P0DPB6
GLRA1	P23415
PRPF3	O43395
SIAH1	Q8IUQ4
FOXP2	O15409
COL18A1	P39060
SPG7	Q9UQ90
SERPIND1	P05546
KDM6B	O15054
KRT86	O43790
MAFA	Q8NHW3
MAFA	Q96E93
PRPF6	O94906
UCHL1	P09936
WDFY3	Q8IZQ1
RDH12	Q96NR8
HPD	P32754
OAS1	P00973
HTRA2	O43464
GNAL	P38405
TNFAIP3	P21580
GRN	P28799
FTH1	P02794
TNXB	P22105
GUCA1A	P43080
STX1B	P61266
GDF11	O95390
SLC6A5	P23975
SLC6A5	Q9Y345
ROBO2	Q9HCK4
FGF10	O15520
CHRNA4	P43681
SCN10A	Q9Y5Y9
IKBKB	O14920
CUX2	O14529
ATXN7	O15265
AURKA	O14965
APOL2	Q9BQE5
DSC2	Q02487
TARDBP	Q13148
NRL	P54845
SLC39A5	Q6ZMH5
POLR2A	P24928
CRYGS	P22914
CPT1C	Q8TCG5
CSF1R	P07333
SPTBN2	O15020
THSD1	Q9NS62
LDLR	P01130
NEDD4L	Q96PU5
ATP5MC3	P48201
TRPC6	Q9Y210
SLC6A20	Q9NP91
OPA3	Q9H6K4
SNTA1	Q13424
GLMN	Q92990
GCM2	O75603
ABCA1	O95477
HTT	P31645
HTT	P42858
CALM3	P0DP25
MUC5B	Q9HC84
NR3C1	P04150
FHOD3	Q2V2M9
FHOD3	Q8IVF7
EPHA2	P29317
AHDC1	Q5TGY3
TRDN	Q13061
PKD2	Q13563
PKD2	Q9BZL6
TRNT1	Q96Q11
PI4KA	P42356
USP53	Q70EK8
STK4	Q13043
CNNM4	Q6P4Q7
PRCD	Q00LT1
BTG4	Q9NY30
GPI	P06744
CYP2U1	Q7Z449
SLC41A1	Q8IVJ1
MSH4	O15457
FCHO1	O14526
NDUFAF2	Q8N183
MEGF8	Q7Z7M0
H6PD	O95479
SYT14	Q8NB59
UVSSA	Q2YD98
IL1RN	P18510
PPT1	P50897
DBH	P09172
TAF8	Q7Z7C8
TMEM132E	Q6IEE7
DHH	O43323
JAG2	Q9Y219
NADSYN1	Q6IA69
RUSC2	Q8N2Y8
ACADM	P11310
UPB1	Q9UBR1
NEK8	Q86SG6
NEK8	Q8TD19
MAK	P20794
MAK	Q96L96
NTRK1	P04629
DBR1	Q9UK59
TP73	O15350
WBP2	Q969T9
CTNNBL1	Q8WYA6
TDP1	Q9NUW8
ASNS	P08243
MOCS1	Q9NZB8
SCYL2	Q6P3W7
CFAP298	P57076
ZBTB11	O95625
EXOSC3	Q9NQT5
SMN1	Q16637
CLDN19	Q8N6F1
TANGO2	Q6ICL3
SEPSECS	Q9HD40
USH1C	Q9Y6N9
FAH	P16930
PLA2G6	O60733
LRIT3	Q3SXY7
EIF2AK4	Q9P2K8
TAPBP	O15533
NBEAL2	Q6ZNJ1
FRMD4A	Q9P2Q2
IL12B	P29460
PLEKHG2	Q9H7P9
TSEN2	Q8NCE0
ITGA7	Q13683
C6	P13671
TPK1	Q9H3S4
MTMR2	Q13614
MRPL3	P09001
FOXI1	Q12951
AMBN	Q9NP70
CATIP	Q7Z7H3
BCAT2	O15382
CTSF	Q9UBX1
CRAT	P43155
SLC19A3	Q9BZV2
SNX10	Q9Y5X0
CLN6	Q9NWW5
ROBO3	Q96MS0
AUH	Q13825
AGRN	O00468
LAMA1	P25391
COQ4	Q9Y3A0
POLR3K	Q9Y2Y1
RFX6	Q8HWS3
CCDC34	Q96HJ3
CFAP65	Q6ZU64
ARHGEF1	Q92888
VPS13C	Q709C8
MED25	Q71SY5
MED25	Q9NWA0
SLC25A42	Q86VD7
PTF1A	Q7RTS3
FDFT1	P37268
FKTN	O75072
GSR	P00390
ADAMTSL4	Q6UY14
ETHE1	O95571
HMOX1	P09601
HACD1	B0YJ81
HPDL	Q96IR7
MSRB3	Q8IXL7
STN1	Q9H668
STN1	Q9Y6Q2
TKFC	Q3LXA3
NDUFS4	O43181
ARHGEF18	Q6ZSZ5
TSPEAR	Q8WU66
SHMT2	P34897
IL36RN	Q9UBH0
LIPT2	A6NK58
GLIS3	Q8NEA6
GCDH	Q92947
TPP2	P29144
CNP	P09543
UQCRQ	O14949
PIDD1	Q9HB75
FRRS1L	Q9P0K9
SLC5A5	Q92911
CHMP1A	Q9HD42
SLC6A17	Q9H1V8
IFT81	Q8WYA0
GCSH	P23434
ECHS1	P30084
GON7	Q9BXV9
TYRP1	P17643
AFP	P02771
GRAP	Q13588
GGCX	P38435
CRADD	P78560
FBXO31	Q5XUX0
PARK7	Q99497
SLC6A9	P48067
COX6A2	Q02221
PIGV	Q9NUD9
ADD3	Q9UEY8
PTPRO	Q16827
PTPRO	Q92729
NCF2	P19878
ACY1	Q03154
PIGH	Q14442
IRF7	Q92985
RD3	Q7Z3Z2
UMPS	P11172
ADCY1	Q08828
MCM8	Q9UJA3
BAG5	Q9UL15
MOV10L1	Q9BXT6
DNHD1	Q96M86
CEP55	Q53EZ4
LPIN2	Q92539
GATAD1	Q8WUU5
ITGB4	P16144
PSMB10	P40306
MCIDAS	D6RGH6
FSHB	P01225
KPTN	Q9Y664
TIMMDC1	Q9NPL8
STAT2	P52630
TAF4B	Q92750
ADCY6	O43306
IL10RA	Q13651
DNAH8	Q96JB1
MAP3K20	Q9NYL2
ISG15	P05161
ARL2BP	Q9Y2Y0
LAMB2	P11047
LAMB2	P55268
GRXCR1	A8MXD5
GAN	Q9H2C0
RSPH1	Q8WYR4
SLC26A1	Q9H2B4
ALDH7A1	P49419
ALDH4A1	P30038
OGDHL	Q9ULD0
GALK1	P51570
NEK2	P51955
LIPT1	Q9Y234
ANK3	Q12955
SH3PXD2B	A1X283
CLCF1	Q9UBD9
AKR1C2	P52895
TAP1	Q03518
CD27	P26842
IL17RC	Q8NAC3
ABCD3	P28288
DEF6	Q01524
DEF6	Q9H4E7
DGUOK	Q16854
ARPC1B	O15143
NECTIN4	Q96NY8
DPAGT1	Q9H3H5
PIGU	Q9H490
ALX3	O95076
CATSPER1	Q8NEC5
MFF	Q9GZY8
EMC1	Q8N766
CD3G	P09693
TMEM218	A2RU14
TEX14	Q8IWB6
PRDM8	Q9NQV8
HOXA1	P49639
SLC51B	Q86UW2
ACADSB	P45954
SC5D	O75845
IGHMBP2	P38935
COX5A	P20674
NDUFA2	O43678
PC	P11498
ADGRG6	Q86SQ4
TK2	O00142
VPS41	P49754
TRMT10C	Q7L0Y3
DRC1	Q96MC2
DRC1	Q9UBG3
AKR1D1	P51857
PDHX	O00330
RAG1	P15918
MARVELD2	Q8N4S9
TBC1D7	Q9P0N9
PSPH	P78330
PSAT1	Q9Y617
HMX1	Q9NP08
PANK2	Q9BZ23
POMT2	Q9UKY4
ABCA3	Q99758
CIB2	O75838
GFRA1	P56159
GFPT1	Q06210
OXCT1	P55809
ERGIC1	Q969X5
PLCB3	Q01970
DST	Q03001
VPS11	Q9H270
SLC25A38	Q96DW6
SPINK2	P20155
TERB2	Q8NHR7
ETFB	P38117
EXPH5	Q8NEV8
GAMT	Q14353
ANKS6	Q68DC2
TMC8	Q8IU68
FCGR3A	P08637
PRKDC	P78527
NEK10	Q6ZWH5
IL6R	P08887
PDE6C	P51160
LCA5	Q86VQ0
GCNT2	Q8N0V5
STRC	Q7RTU9
NPHS1	O60500
AICDA	Q9GZX7
STT3B	Q8TCJ2
NOS1AP	O75052
NUDT2	P50583
FGG	P02679
SPTBN4	Q9H254
NDUFS3	O75489
ISCU	Q9H1K1
COA6	Q5JTJ3
GPR88	Q9GZN0
MAPKBP1	O60336
RFXANK	O14593
CALCRL	Q16602
ARHGEF2	Q92974
GSS	P48637
MEOX1	P50221
DOHH	Q9BU89
EXOC2	Q96KP1
MPLKIP	Q8TAP9
KIZ	Q2M2Z5
TSPYL1	Q9H0U9
KANK2	Q63ZY3
ERLIN2	O94905
SPAG17	Q6Q759
CPT1A	P50416
TMPRSS15	P98073
HJV	Q6ZVN8
SVIL	O95425
AK2	P54819
IL18BP	O95998
PTPN14	Q15678
CYP2D6	P10635
RIC1	Q4ADV7
MALT1	Q9UDY8
MLIP	Q5VWP3
KNSTRN	Q9Y448
AP1S1	P61966
NAPB	Q9H115
NFASC	O94856
SUGCT	Q9HAC7
S1PR2	O95136
COG6	Q9Y2V7
PLVAP	Q9BX97
TMX2	Q9Y320
YARS2	Q9Y2Z4
ACSF3	Q4G176
TRAPPC9	Q96Q05
FAN1	Q16658
FAN1	Q9Y2M0
FLG2	Q5D862
ABCG8	Q9H221
CNGA3	Q16281
PNP	P00491
PNP	P01298
HIKESHI	Q53FT3
C5	P01031
LBX1	P52954
ARSA	O43681
ARSA	P15289
GLYCTK	Q8IVS8
MOCOS	Q96EN8
RELB	Q01201
LOXHD1	Q8IVV2
TJP2	Q9UDY2
TRIP4	Q15650
DSC3	Q02487
DSC3	Q14574
IL21	Q9HBE4
MERTK	Q12866
HSF2BP	O75031
MTRR	Q9UBK8
HOGA1	Q86XE5
AGT	P01019
TAP2	Q03519
TAP2	Q9UDX4
USH2A	O75445
NDUFAF5	Q5TEU4
MMP1	P03956
MMAA	Q8IVH4
MMAA	Q9GIP4
POMT1	Q9Y6A1
TIAM1	Q13009
SAR1B	Q9Y6B6
GNB5	O14775
TMEM70	Q9BUB7
ELMO2	Q96JJ3
CUBN	O60494
GTPBP2	Q9BX10
NT5C3A	Q9H0P0
CYP26C1	Q6V0L0
MTR	Q99707
DSG4	Q86SJ6
PINK1	Q9BXM7
TGM5	O43548
MTHFD1	P11586
DDC	P20711
SLC1A4	P43007
KIF20A	O95235
DOCK7	Q96N67
CEP104	O60308
CNTN1	Q12860
SLC25A12	O75746
RALGAPA1	Q6GYQ0
CFD	P00746
SAG	P10523
SAG	Q9UBF6
CD79B	P40259
PATL2	C9JE40
TEX15	Q9BXT5
PIK3CG	P48736
SPPL2A	Q8TCT8
CTSD	P07339
NCF4	Q15080
FYB1	O15117
SUN5	Q8TC36
RNF220	Q5VTB9
KIAA0825	Q8IV33
ANAPC7	Q9UJX3
GNAT2	P19087
NUP37	Q8NFH4
LAMC3	Q9Y6N6
ARSG	Q96EG1
TBX19	O60806
KRT18	P05783
CD151	P48509
SRA1	Q9H7N4
SRA1	Q9HD15
PDSS2	Q86YH6
ALG14	Q96F25
ATP13A3	Q9H7F0
UNG	P13051
PSMB1	P20618
PLEKHG5	O94827
NDUFV2	P19404
TNR	Q92752
CLDN14	O95500
LCAT	P04180
MYO1E	Q12965
KL	Q9UEF7
PLXNA1	Q9UIW2
NRXN1	P58400
NRXN1	Q9ULB1
CEP112	Q8N8E3
PJVK	Q0ZLH3
DCAF17	Q5H9S7
CRLF1	O75462
TECR	Q9NZ01
CFAP44	Q96MT7
AIMP2	Q13155
ZNF513	Q8N8E2
REEP6	Q96HR9
ZAP70	P43403
TNFSF11	O14788
SHQ1	Q6PI26
ACP4	Q9BZG2
ESPN	B1AK53
C1QB	P02746
ACADS	P16219
CIDEC	Q96AQ7
IDH3A	P50213
UQCRB	P14927
ADAM17	P78536
FGF20	Q9NP95
ALX1	Q15699
SIGMAR1	Q99720
LTBP4	Q8N2S1
SERAC1	Q96JX3
ETFA	P13804
B3GALNT2	Q8NCR0
CABP4	P57796
DNAH17	Q9UFH2
EDEM3	Q9BZQ6
HPS6	Q86YV9
PDE6A	P16499
SLC25A46	Q96AG3
MFSD8	Q8NHS3
CAT	P04040
CAT	Q6IB77
TPO	P07202
NDUFAF8	A1L188
SLC10A1	Q14973
HOXB1	P14653
NAGA	P17050
RXYLT1	Q9Y2B1
LAMA5	O15230
VIPAS39	Q9H9C1
CLDN10	P78369
DNAI1	Q9UI46
SCUBE3	Q8IX30
WDR45	Q9Y484
USH1G	Q495M9
MRPS23	Q9Y3D9
SI	P14410
MSH5	O43196
BVES	Q8NE79
SLC24A1	O60721
TTPA	P49638
EIF2B4	Q9UI10
REL	Q04864
SGO1	Q5FBB7
TMTC3	Q6ZXV5
KCNV2	Q8TDN2
FSIP2	Q5CZC0
CFAP300	Q9BRQ4
HADHA	P40939
PET117	Q6UWS5
PRDM13	Q9H4Q3
GALT	P07902
LIG3	P49916
LIG3	Q6UXM1
COLEC11	Q9BWP8
SLC26A3	P40879
AK7	Q96M32
COA7	Q96BR5
LAMA2	P24043
GPAA1	O43292
PIGB	Q92521
SELENBP1	Q13228
SLC52A3	Q9NQ40
SPATA16	Q9BXB7
IREB2	P48200
PTPRC	P08575
PRG4	Q92954
PRG4	Q96GM1
GP9	P14770
ADA	P00813
AHR	P35869
HID1	Q8IV36
CCDC62	Q6P9F0
PADI3	Q9ULW8
CLCC1	Q96S66
CRB2	Q5IJ48
JAK3	P52333
MYO1H	Q8N1T3
COX10	Q12887
DHFR	P00374
BCL10	O95999
IBA57	Q5T440
NUP93	Q8N1F7
ALDH1A3	P47895
FKRP	Q9H9S5
COLQ	Q9Y215
CYP24A1	Q07973
CARD9	Q9H257
PDZD7	Q9H5P4
CCDC28B	Q9BUN5
PKHD1	P08F94
ATP2A1	O14983
LMF1	Q96S06
JAM2	P57087
ZP1	P60852
SLC52A2	Q9HAB3
YIF1B	Q5BJH7
SLC1A1	P43005
WDR1	O75083
MICU1	Q9BPX6
NADK2	Q4G0N4
NPHS2	Q9NP85
SLC25A19	Q9HC21
RBL2	Q08999
DBT	P11182
FERMT3	Q86UX7
WNT2B	Q93097
NLRP7	Q8WX94
SLC22A5	O76082
LDHD	Q86WU2
YIPF5	Q969M3
PRDX1	Q06830
ACE	P12821
LDLRAP1	Q5SW96
WEE2	P0C1S8
SLC25A13	Q9UJS0
GBE1	Q04446
TMEM260	Q9NX78
WARS2	Q9UGM6
ANGPTL3	Q9Y5C1
ITPA	Q9BY32
TULP1	O00294
CP	P00450
VSX2	P58304
NANS	Q9NR45
HAVCR2	Q8TDQ0
CPS1	P31327
COASY	Q13057
GNMT	Q14749
AMH	P03971
SLC18A3	Q16572
NDUFB7	P17568
CLN8	Q9UBY8
RSPH3	Q86UC2
BLOC1S5	Q8TDH9
CD3E	P07766
ABCA5	Q8WWZ7
MUTYH	Q9UIF7
IL17RA	Q96F46
ARHGDIA	P52565
DYSF	O75923
NAGS	Q8N159
DLAT	P10515
AP3B1	O00203
SCARB2	Q14108
RETREG1	Q9H6L5
FBXO43	Q4G163
HSD3B7	Q9H2F3
RAB27A	P51159
PPP1R21	Q6ZMI0
NME8	Q8N427
EOGT	Q5NDL2
FITM2	Q8N6M3
GFM1	Q96RP9
TERB1	Q8NA31
CHUK	O15111
SLC46A1	Q96NT5
POLR1C	O15160
CNGB1	Q14028
LYRM4	Q9HD34
NHLRC1	Q6VVB1
STX3	Q13277
CCDC88A	Q3V6T2
DOCK6	Q96HP0
DDX11	Q96FC9
SEMA7A	O75326
SLC25A26	Q70HW3
MRPS7	Q9Y2R9
HGSNAT	Q68CP4
TARS2	Q9BW92
CD3D	P04234
HMGCS2	P54868
TULP3	O75386
ADAM9	Q13443
PNKP	Q96T60
CRBN	Q96SW2
DNAL1	Q4LDG9
POMGNT1	Q8WZA1
BLNK	Q8WV28
PDCD6IP	Q8WUM4
ANO1	Q5XXA6
COQ9	O75208
PNPLA8	Q9NP80
MTO1	Q9Y2Z2
TMEM222	Q9H0R3
DNAJB13	P59910
DGAT1	O75907
AHCY	P23526
NSRP1	Q9H0G5
PUS3	Q9BZE2
FOCAD	Q5VW36
SPATA7	Q9P0W8
GATC	O43716
SLC7A14	Q8TBB6
WHRN	Q9P202
NFS1	Q9Y697
KRT25	Q7Z3Z0
CLN5	O75503
CST6	P04080
CST6	Q15828
DNAH10	Q8IVF4
NUP188	Q5SRE5
SLC24A4	Q8NFF2
COX14	Q96I36
CHST8	Q9H2A9
MMP20	O60882
MMP20	Q9NPA2
SMARCD2	Q92925
TBCK	Q8TEA7
PPA2	Q9H2U2
LMOD2	Q6P5Q4
IL2RA	P01589
NTNG2	Q96CW9
PGR	P06401
GLDN	Q6ZMI3
TYROBP	O43914
RNASET2	O00584
WIPF1	O43516
MGME1	Q9BQP7
BAAT	Q14032
YY1AP1	Q9H869
D2HGDH	Q8N465
CHRNA3	P32297
EPB42	P16452
ABCD4	O14678
PRSS12	P56730
AXL	P30530
DOCK8	Q8NF50
PRF1	P14222
DSG3	P32926
DUOXA2	Q1HG44
IFNAR1	P17181
GFER	P55789
CNTN2	Q02246
PIGK	Q92643
NARS2	Q96I59
LRRC56	Q8IYG6
FLVCR2	Q9UPI3
SUCLG1	P53597
COX6B1	P14854
DPM2	O94777
C2	P06681
TRAF3IP2	O43734
IRF9	Q00978
BCS1L	Q9Y276
TIMM22	Q9Y584
GALE	Q14376
CD4	P01730
ALG6	Q9Y672
PDP1	Q8IY26
PDP1	Q9P0J1
EPHB2	P29323
EGF	P01133
KDM5B	Q9UGL1
SIPA1L3	O60292
NCAPH	Q15003
SLC30A10	Q6XR72
FGD4	Q96M96
IMPA1	P29218
RMND1	Q9NWS8
SRD5A3	Q9H8P0
CYP27A1	Q02318
DEGS1	O15121
MDFIC	Q9P1T7
LCK	P06239
RNASEH1	O60930
RUBCN	Q92622
VAX1	Q5SQQ9
PCDH15	Q96QU1
VWA1	Q6PCB0
GYG1	P46976
SVBP	Q8N300
PUS1	Q9Y606
ODAPH	Q17RF5
TMEM147	Q9BVK8
COG2	Q14746
MYO9A	B2RTY4
C4A	P0C0L4
ACTL9	Q8TC94
GRHPR	Q9UBQ7
MARK3	P27448
IL7	P13232
IGFBP7	Q16270
AP5Z1	O43299
MYORG	Q6NSJ0
NDUFAF6	Q330K2
SLC25A32	Q9H2D1
MRPL44	Q9H9J2
CENPF	P49454
CIB1	Q99828
B4GALT1	P15291
ALAD	P13716
PTS	Q03393
SLC39A7	Q92504
UNC45A	Q9H3U1
ACAD8	Q9UKU7
LCP2	Q13094
C1QC	P02747
GIMAP5	Q96F15
SLC18A2	Q05940
PLCB1	Q9NQ66
CLN3	Q13286
CORO1A	P31146
ST14	Q9Y5Y6
TNNT1	P13805
CAPN1	P07384
F13B	P05160
FYCO1	Q9BQS8
CEP83	Q9Y592
DPYS	Q14117
CEP250	Q9BV73
TSEN54	Q7Z6J9
PRSS56	P0CW18
COX6A1	P12074
ENTPD1	P49961
PET100	P0DJ07
PCBD1	P61457
NDUFA12	Q9UI09
ATP13A2	Q9NQ11
DCLRE1B	Q9H816
KLHL40	Q2TBA0
ITGA3	P26006
CFL2	Q9Y281
MPDZ	O75970
CD40	P25942
DDX59	Q5T1V6
LMAN1	P49257
LCT	P09848
PPIL1	Q9Y3C6
GALM	Q96C23
ARG1	P05089
VARS2	P26640
VARS2	Q5ST30
TDP2	O95551
PSMC1	P62191
ADSL	P30566
CYP11B2	P19099
ADCY3	O60266
CFAP45	Q9UL16
APOC2	P02655
TMEM94	Q12767
EPS8	Q12929
TG	P01266
PIGQ	Q9BRB3
KY	Q8NBH2
CTH	P32929
CTH	Q96IQ7
CPE	P16870
GLUL	P15104
DNAL4	O96015
LAMB1	P07942
ADAMTS19	Q8TE59
GDF9	O60383
SLC25A10	Q9UBX3
LRP1	Q07954
LPIN1	Q14693
SCP2	O14595
SCP2	P22307
SCP2	Q9BX26
ALPK3	Q96L96
SLC19A1	P41440
CATSPER2	Q96P56
NDUFB8	O95169
RBCK1	Q9BYM8
GEMIN4	P57678
PDHA2	P29803
ARMC9	Q7Z3E5
MRM2	Q9UI43
TRIM36	Q9NQ86
FGB	P02675
ALDH1A2	O94788
MOGS	Q13724
CDHR1	Q96JP9
HARS2	P49590
HARS2	Q8TEA8
TXN2	Q99757
EXOSC9	Q06265
CD247	P20963
CYP1B1	Q16678
RIPK4	P57078
AKR1C4	P17516
DENND5A	Q6IQ26
HPSE2	Q8WWQ2
FMO3	P31513
TRMT5	Q32P41
LIPE	Q05469
PRUNE1	Q86TP1
MANBA	O00462
TPI1	P60174
IL2RB	P14784
KIF12	Q96FN5
RFX5	P48382
DDHD1	Q8NEL9
PRIM1	P49642
CDC40	O60508
STK36	Q9NRP7
SLC7A6OS	Q96CW6
KCNJ16	Q9NPI9
NHLRC2	Q8NBF2
SBF2	Q86WG5
CASP14	P31944
ATP5F1A	P25705
PPM1K	Q8N3J5
MYF5	P13349
CTNNA2	P26232
ALG1	Q9BT22
GCLC	P48506
LMOD3	Q0VAK6
FOLR1	P15328
FDXR	P22570
CHP1	Q99653
CHP1	Q9UHD1
USP45	Q70EL2
AARS2	Q5JTZ9
ST3GAL3	Q11203
TRIT1	Q9H3H1
DNAAF1	Q8NEP3
TPP1	O14773
TPP1	P49638
TPP1	Q96AP0
SLC13A3	Q8WWT9
ARMC2	Q8NEN0
TMEM126B	Q8IUX1
SOBP	A7XYQ1
CYP7B1	O75881
HADHB	P55084
CERKL	Q49MI3
MRPS14	O60783
IFNAR2	P48551
HR	O43593
TALDO1	P37837
NEMF	O60524
PHOX2A	O14813
SFTPB	P07988
LIPA	P38571
KLHDC8B	Q8IXV7
ZNF699	Q32M78
TYR	P14679
CEP41	Q9BYV8
SLC51A	Q86UW1
AP3D1	O14617
GLIS2	Q9BZE0
GSX2	Q9BZM3
CYB561	P49447
GAS8	O95995
NKX6-2	Q9C056
FMN2	Q9NZ56
SORD	Q00796
SGCG	Q13326
MSTN	O14793
TAPT1	Q6NXT6
KLC2	Q6P597
KLC2	Q9H0B6
EIF2B5	Q13144
TMEM126A	Q9H061
TSGA10	Q9BZW7
GUF1	Q8N442
FTO	Q9C0B1
ASS1	P00966
LRBA	P50851
MECR	Q9BV79
HGD	Q93099
GGN	Q86UU5
HPS1	Q92902
LINGO1	Q96FE5
AIMP1	Q12904
DNAH1	Q9P2D7
ACKR3	P25106
KATNB1	Q9BVA0
TRIM2	Q9C040
TUBGCP2	Q9BSJ2
DPY19L2	Q6NUT2
ANO10	Q9NW15
FBXO7	Q9Y3I1
TCHH	Q07283
PIK3R5	Q8WYR1
NEK9	Q8TD19
MPI	P34949
CLP1	O94992
CLP1	Q5KU26
CLP1	Q92989
MPC1	Q9Y5U8
AEBP1	Q8IUX7
ZNF335	Q9H4Z2
DGKE	P52429
TFR2	Q9UP52
REPS1	Q96D71
CFAP52	Q8N1V2
DUT	P33316
NR1H4	Q96RI1
ERAL1	O75616
NGLY1	Q96IV0
HPS3	Q969F9
COX20	Q5RI15
TMEM63C	Q9P1W3
MPIG6B	O95866
IL37	Q9NZH6
TACSTD2	P09758
MMP14	P50281
GRK1	Q15835
TDRD7	Q8NHU6
SLC10A2	Q12908
TTC5	Q8N0Z6
RAPSN	Q13702
SALL2	Q9Y467
CCDC32	Q9BV29
FCN3	O75636
DAG1	Q14118
PIBF1	Q8WXW3
CTU2	Q2VPK5
HEXB	P07686
KIRREL1	Q96J84
BIN1	O00499
SERPINF2	P08697
DAAM2	Q86T65
CNPY3	Q9BT09
NCKAP1L	P55160
DARS2	Q6PI48
PIGC	Q92535
ETFDH	Q16134
PGAP3	Q96FM1
MMAB	Q96EY8
RPL10L	Q96L21
CARD10	Q9BWT7
DCPS	Q96C86
TTC12	Q9H892
PITRM1	Q5JRX3
MRPS2	Q9Y399
PIGM	Q9H3S5
MASP1	P48740
POMC	P01189
POMGNT2	Q8NAT1
MED23	Q9ULK4
AK1	P00568
ACAD9	Q9H845
FADD	Q13158
LYRM7	Q5U5X0
COX15	Q7KZN9
XRCC1	P18887
VPS35L	Q7Z3J2
LACC1	Q8IV20
NDUFS7	O75251
CPSF3	Q9UKF6
GDAP2	Q9NXN4
MMACHC	Q9Y4U1
